"Category","Votes"
"Big Data",25
"Data Visualization",29
"Machine Learning",23
"Statistics",22
"Version Control",7
"Data Cleaning",17
"Web Scraping",12
"Natural Language Processing",18
"Parallel",1
"Internet of Things",1
"Cloud Computing",1
"Databases",1
